sample_vt,lead_vt,sample_mdeq,lead,lead2_mdeq,notes
1,0.344,1,0,0,NA
2,0.349,2,104,NA,sample removed: house had a filter
3,0.4,3,10,10,NA
4,0.41,4,6,6,NA
5,0.438,5,5,5,NA
6,0.475,6,0,0,NA
7,0.5,7,3,3,NA
8,0.5,8,0,0,NA
9,0.501,9,13,13,NA
10,0.507,10,4,4,NA
11,0.543,11,8,8,NA
12,0.548,12,6,6,NA
13,0.552,13,2,2,NA
14,0.639,14,1,1,NA
15,0.64,15,1,1,NA
16,0.684,16,0,0,NA
17,0.7,17,2,2,NA
18,0.708,18,7,7,NA
19,0.719,19,3,3,NA
20,0.739,20,5,5,NA
21,0.753,21,0,0,NA
22,0.793,22,5,5,NA
23,0.8,23,5,5,NA
24,0.8,24,42,42,NA
25,0.8,25,22,22,NA
26,0.823,26,8,8,NA
27,0.828,27,20,NA,sample removed: business not residence
28,0.832,28,6,6,NA
29,0.846,29,2,2,NA
30,0.866,30,5,5,NA
31,0.9,31,3,3,NA
32,0.906,32,2,2,NA
33,0.915,33,3,3,NA
34,0.922,34,4,4,NA
35,0.948,35,21,21,NA
36,0.956,36,7,7,NA
37,0.965,37,3,3,NA
38,0.974,38,42,42,NA
39,0.977,39,0,0,NA
40,0.99,40,7,7,NA
41,1.032,41,29,29,NA
42,1.083,42,18,18,NA
43,1.1,43,1,1,NA
44,1.1,44,2,2,NA
45,1.1,45,3,3,NA
46,1.111,46,1,1,NA
47,1.114,47,5,5,NA
48,1.132,48,0,0,NA
49,1.152,49,3,3,NA
50,1.154,50,10,10,NA
51,1.166,51,2,2,NA
52,1.174,52,5,5,NA
53,1.183,53,2,2,NA
54,1.2,54,3,3,NA
55,1.203,55,0,0,NA
56,1.224,56,3,3,NA
57,1.229,57,9,9,NA
58,1.29,58,11,11,NA
59,1.293,59,0,0,NA
60,1.329,60,0,0,NA
61,1.344,61,3,3,NA
62,1.38,62,6,6,NA
63,1.386,63,2,2,NA
64,1.403,64,0,0,NA
65,1.467,65,2,2,NA
66,1.469,66,0,0,NA
67,1.492,67,2,2,NA
68,1.571,68,0,0,NA
69,1.585,69,3,3,NA
70,1.621,70,5,5,NA
71,1.626,71,2,2,NA
72,1.633,,,,
73,1.668,,,,
74,1.671,,,,
75,1.701,,,,
76,1.799,,,,
77,1.8,,,,
78,1.852,,,,
79,1.861,,,,
80,1.862,,,,
81,1.867,,,,
82,1.888,,,,
83,1.934,,,,
84,1.951,,,,
85,1.959,,,,
86,1.966,,,,
87,1.984,,,,
88,2.054,,,,
89,2.1,,,,
90,2.145,,,,
91,2.149,,,,
92,2.172,,,,
93,2.229,,,,
94,2.261,,,,
95,2.267,,,,
96,2.273,,,,
97,2.325,,,,
98,2.332,,,,
99,2.362,,,,
100,2.37,,,,
101,2.423,,,,
102,2.433,,,,
103,2.435,,,,
104,2.448,,,,
105,2.481,,,,
106,2.484,,,,
107,2.525,,,,
108,2.544,,,,
109,2.576,,,,
110,2.582,,,,
111,2.672,,,,
112,2.708,,,,
113,2.774,,,,
114,2.816,,,,
115,2.822,,,,
116,2.828,,,,
117,2.85,,,,
118,2.867,,,,
119,2.9,,,,
120,2.911,,,,
121,2.997,,,,
122,3.045,,,,
123,3.058,,,,
124,3.131,,,,
125,3.158,,,,
126,3.228,,,,
127,3.232,,,,
128,3.243,,,,
129,3.262,,,,
130,3.322,,,,
131,3.341,,,,
132,3.365,,,,
133,3.4,,,,
134,3.445,,,,
135,3.484,,,,
136,3.521,,,,
137,3.564,,,,
138,3.679,,,,
139,3.741,,,,
140,3.744,,,,
141,3.784,,,,
142,3.832,,,,
143,3.9,,,,
144,3.9,,,,
145,4.056,,,,
146,4.062,,,,
147,4.066,,,,
148,4.152,,,,
149,4.287,,,,
150,4.358,,,,
151,4.401,,,,
152,4.453,,,,
153,4.47,,,,
154,4.476,,,,
155,4.563,,,,
156,4.681,,,,
157,4.69,,,,
158,4.699,,,,
159,4.764,,,,
160,4.797,,,,
161,4.808,,,,
162,5.06,,,,
163,5.068,,,,
164,5.153,,,,
165,5.218,,,,
166,5.228,,,,
167,5.3,,,,
168,5.35,,,,
169,5.367,,,,
170,5.402,,,,
171,5.5,,,,
172,5.508,,,,
173,5.59,,,,
174,5.655,,,,
175,5.667,,,,
176,5.668,,,,
177,6.054,,,,
178,6.087,,,,
179,6.093,,,,
180,6.2,,,,
181,6.2,,,,
182,6.219,,,,
183,6.261,,,,
184,6.27,,,,
185,6.3,,,,
186,6.347,,,,
187,6.557,,,,
188,6.601,,,,
189,6.609,,,,
190,6.877,,,,
191,7.087,,,,
192,7.2,,,,
193,7.244,,,,
194,7.575,,,,
195,7.636,,,,
196,8.007,,,,
197,8.071,,,,
198,8.133,,,,
199,8.2,,,,
200,8.471,,,,
201,8.561,,,,
202,8.713,,,,
203,8.8,,,,
204,9.3,,,,
205,9.408,,,,
206,9.766,,,,
207,9.997,,,,
208,10.32,,,,
209,10.56,,,,
210,10.6,,,,
211,10.74,,,,
212,10.96,,,,
213,11,,,,
214,11.2,,,,
215,11.47,,,,
216,11.52,,,,
217,11.57,,,,
218,11.93,,,,
219,12.3,,,,
220,12.55,,,,
221,12.81,,,,
222,12.87,,,,
223,12.9,,,,
224,13.53,,,,
225,13.95,,,,
226,14.33,,,,
227,15.55,,,,
228,15.73,,,,
229,15.9,,,,
230,16.49,,,,
231,16.51,,,,
232,16.52,,,,
233,16.99,,,,
234,18.11,,,,
235,18.86,,,,
236,19.12,,,,
237,19.16,,,,
238,20.22,,,,
239,20.41,,,,
240,22.08,,,,
241,23.85,,,,
242,24.37,,,,
243,25.21,,,,
244,26.64,,,,
245,27.02,,,,
246,27.05,,,,
247,27.45,,,,
248,28.7,,,,
249,28.91,,,,
250,29.13,,,,
251,29.59,,,,
252,30.91,,,,
253,31.06,,,,
254,31.14,,,,
255,32.85,,,,
256,34.13,,,,
257,38.02,,,,
258,40.63,,,,
259,43.19,,,,
260,56.26,,,,
261,59,,,,
262,66.24,,,,
263,66.88,,,,
264,75.82,,,,
265,102.7,,,,
266,105.3,,,,
267,109.6,,,,
268,118.4,,,,
269,120,,,,
270,138.8,,,,
271,158,,,,
