"","iso3c","country","region","income","year","population","overall_score","data_use_score","data_services_score","data_products_score","data_sources_score","data_infrastructure_score"
"1","DNK","Denmark","Europe & Central Asia","High income",2023,5946952,95.2558333333333,100,98.4666666666666,90.7125,87.1,100
"2","FIN","Finland","Europe & Central Asia","High income",2023,5584264,95.1154166666667,100,96.4333333333333,90.96875,88.175,100
"3","POL","Poland","Europe & Central Asia","High income",2023,36685849,94.65375,100,97.3,84.54375,91.425,100
"4","SWE","Sweden","Europe & Central Asia","High income",2023,10536632,94.41,100,96,90.575,85.475,100
"5","ESP","Spain","Europe & Central Asia","High income",2023,48373336,94.325,100,91.2,92.625,87.8,100
"6","NLD","Netherlands","Europe & Central Asia","High income",2023,17879488,94.3225,100,96.9,91.0875,83.625,100
"7","SVN","Slovenia","Europe & Central Asia","High income",2023,2120937,94.2204166666667,100,97.5333333333333,91.34375,82.225,100
"8","PRT","Portugal","Europe & Central Asia","High income",2023,10525347,93.7783333333333,100,96.8666666666667,91.75,80.275,100
"9","ITA","Italy","Europe & Central Asia","High income",2023,58761146,93.63875,100,93,93.26875,81.925,100
"10","NOR","Norway","Europe & Central Asia","High income",2023,5519594,93.5566666666667,100,97.2333333333333,86.7,83.85,100
"11","CAN","Canada","North America","High income",2023,40097761,93.4616666666667,100,92.7333333333333,84.75,89.825,100
"12","USA","United States","North America","High income",2023,334914895,93.4304166666667,100,93.1333333333333,88.39375,85.625,100
"13","FRA","France","Europe & Central Asia","High income",2023,68170228,92.8295833333333,100,92.2666666666666,91.23125,80.65,100
"14","EST","Estonia","Europe & Central Asia","High income",2023,1366188,92.7945833333333,100,96.8666666666667,85.40625,81.7,100
"15","AUT","Austria","Europe & Central Asia","High income",2023,9132383,92.6466666666667,100,89.5333333333333,92.75,80.95,100
"16","DEU","Germany","Europe & Central Asia","High income",2023,84482267,92.4708333333334,100,94.8666666666667,85.8125,86.675,95
"17","HUN","Hungary","Europe & Central Asia","High income",2023,9589872,92.22125,100,89,91.45625,80.65,100
"18","MEX","Mexico","Latin America & Caribbean","Upper middle income",2023,128455567,91.6383333333334,100,93.5666666666667,92.725,86.9,85
"19","LTU","Lithuania","Europe & Central Asia","High income",2023,2871897,91.4808333333334,90,91.1666666666667,94.3125,81.925,100
"20","KOR","Korea, Rep.","East Asia & Pacific","High income",2023,51712619,91.4525,100,93.4,83.9125,84.95,95
"21","LVA","Latvia","Europe & Central Asia","High income",2023,1881750,91.4270833333333,100,97.0666666666667,84.61875,75.45,100
"22","NZL","New Zealand","East Asia & Pacific","High income",2023,5223100,91.3095833333334,100,92.6666666666667,85.48125,78.4,100
"23","CZE","Czechia","Europe & Central Asia","High income",2023,10873689,91.04125,100,89.1,85.03125,86.075,95
"24","JPN","Japan","East Asia & Pacific","High income",2023,124516650,90.94375,100,90.3,85.36875,84.05,95
"25","AUS","Australia","East Asia & Pacific","High income",2023,26638544,90.86625,90,94,85.68125,84.65,100
"26","GRC","Greece","Europe & Central Asia","High income",2023,10361295,90.5754166666667,100,88.2333333333333,83.46875,81.175,100
"27","BEL","Belgium","Europe & Central Asia","High income",2023,11822592,90.4929166666667,100,86.9333333333333,86.60625,78.925,100
"28","CHE","Switzerland","Europe & Central Asia","High income",2023,8849852,90.2925,100,88.4,88.8875,84.175,90
"29","SVK","Slovak Republic","Europe & Central Asia","High income",2023,5426740,89.7683333333333,90,94.4666666666666,84.25,80.125,100
"30","IRL","Ireland","Europe & Central Asia","High income",2023,5262382,89.41625,90,96.3,83.73125,77.05,100
"31","GEO","Georgia","Europe & Central Asia","Upper middle income",2023,3760365,89.2675,100,92.5,84.5875,79.25,90
"32","LUX","Luxembourg","Europe & Central Asia","High income",2023,668606,88.9408333333333,100,93.5666666666667,81.1375,70,100
"33","GBR","United Kingdom","Europe & Central Asia","High income",2023,68350000,88.9025,100,90.3,89.9625,74.25,90
"34","SGP","Singapore","East Asia & Pacific","High income",2023,5917648,88.7675,100,100,69.6625,94.175,80
"35","ROU","Romania","Europe & Central Asia","High income",2023,19056116,88.6175,100,94.2,83.8375,80.05,85
"36","CRI","Costa Rica","Latin America & Caribbean","Upper middle income",2023,5212173,88.5120833333333,100,86.6666666666667,90.69375,80.2,85
"37","BGR","Bulgaria","Europe & Central Asia","High income",2023,6430370,88.3504166666667,100,91.3333333333333,80.51875,79.9,90
"38","CYP","Cyprus","Europe & Central Asia","High income",2023,1260138,88.0020833333333,100,90.5666666666667,79.29375,75.15,95
"39","ISR","Israel","Middle East & North Africa","High income",2023,9756700,87.8904166666667,100,90.9333333333333,70.89375,77.625,100
"40","COL","Colombia","Latin America & Caribbean","Upper middle income",2023,52085168,87.2725,100,85.2,88.1875,77.975,85
"41","HRV","Croatia","Europe & Central Asia","High income",2023,3853200,87.0233333333333,100,87.3666666666667,75.925,76.825,95
"42","CHL","Chile","Latin America & Caribbean","High income",2023,19629590,86.8170833333333,100,85.5666666666667,78.86875,74.65,95
"43","TUR","Turkiye","Europe & Central Asia","Upper middle income",2023,85326000,86.6770833333333,90,86.8,90.66875,65.9166666666667,100
"44","MDA","Moldova","Europe & Central Asia","Upper middle income",2023,2486891,86.0716666666667,100,95.4,76.975,67.9833333333333,90
"45","MKD","North Macedonia","Europe & Central Asia","Upper middle income",2023,1811980,85.29875,100,87.7,81.01875,77.775,80
"46","PHL","Philippines","East Asia & Pacific","Lower middle income",2023,117337368,85.20375,100,92.6666666666667,85.24375,83.1083333333333,65
"47","ALB","Albania","Europe & Central Asia","Upper middle income",2023,2745972,85.0770833333333,100,69.7666666666667,84.14375,76.475,95
"48","ARM","Armenia","Europe & Central Asia","Upper middle income",2023,2777970,85.0345833333333,100,85.4333333333333,85.18125,64.5583333333333,90
"49","MLT","Malta","Middle East & North Africa","High income",2023,553214,84.8225,100,85.5666666666667,72.8375,80.7083333333333,85
"50","SRB","Serbia","Europe & Central Asia","Upper middle income",2023,6618026,84.4120833333333,100,74.9333333333333,88.99375,73.1333333333333,85
"51","MNG","Mongolia","East Asia & Pacific","Upper middle income",2023,3447157,84.03875,100,97.1666666666667,83.56875,74.4583333333333,65
"52","RUS","Russian Federation","Europe & Central Asia","High income",2023,143826130,82.9358333333333,86.6,87.8666666666667,79.0875,71.125,90
"53","ZAF","South Africa","Sub-Saharan Africa","Upper middle income",2023,60414495,82.3725,80,86.2,83.1375,77.525,85
"54","ISL","Iceland","Europe & Central Asia","High income",2023,393600,81.7425,100,53.4,79.3375,75.975,100
"55","SAU","Saudi Arabia","Middle East & North Africa","High income",2023,36947025,81.5333333333333,70,88.3666666666667,75.225,79.075,95
"56","IDN","Indonesia","East Asia & Pacific","Upper middle income",2023,277534122,81.4233333333333,100,91.5666666666667,87,58.55,70
"57","URY","Uruguay","Latin America & Caribbean","High income",2023,3423108,81.1004166666667,100,87.6,73.66875,69.2333333333333,75
"58","THA","Thailand","East Asia & Pacific","Upper middle income",2023,71801279,81.0683333333333,100,81.3,88.4,50.6416666666667,85
"59","PSE","West Bank and Gaza","Middle East & North Africa","Lower middle income",2023,5165775,80.6775,90,91.5,66.6625,70.225,85
"60","BRA","Brazil","Latin America & Caribbean","Upper middle income",2023,216422446,80.6391666666667,83.4,87.3333333333333,77.2875,85.175,70
"61","MYS","Malaysia","East Asia & Pacific","Upper middle income",2023,34308525,80.4179166666667,80,87.7,85.38125,74.0083333333333,75
"62","UZB","Uzbekistan","Europe & Central Asia","Lower middle income",2023,36412350,80.3320833333333,80,76.6333333333333,85.04375,64.9833333333333,95
"63","LKA","Sri Lanka","South Asia","Lower middle income",2023,22037000,80.1970833333333,100,82.0333333333333,79.34375,79.6083333333333,60
"64","EGY","Egypt, Arab Rep.","Middle East & North Africa","Lower middle income",2023,112716598,80.1266666666667,90,77.1,84.7,73.8333333333333,75
"65","KAZ","Kazakhstan","Europe & Central Asia","Upper middle income",2023,19900177,79.8054166666667,90,89,85.04375,69.9833333333333,65
"66","ARG","Argentina","Latin America & Caribbean","Upper middle income",2023,46654581,79.5354166666667,90,80.1333333333333,86.91875,70.625,70
"67","ECU","Ecuador","Latin America & Caribbean","Upper middle income",2023,18190484,79.1445833333333,100,89.1,85.60625,61.0166666666667,60
"68","UKR","Ukraine","Europe & Central Asia","Upper middle income",2023,3.7e+07,78.7433333333333,100,54.0333333333333,85.15,59.5333333333333,95
"69","BLR","Belarus","Europe & Central Asia","Upper middle income",2023,9178298,78.73125,86.6,53.8,84.50625,73.75,95
"70","MUS","Mauritius","Sub-Saharan Africa","Upper middle income",2023,1261041,78.34625,90,85.9,78.13125,62.7,75
"71","JOR","Jordan","Middle East & North Africa","Lower middle income",2023,11337052,78.1220833333333,80,90.3666666666667,81.61875,68.625,70
"72","ARE","United Arab Emirates","Middle East & North Africa","High income",2023,9516871,77.635,90,79.5,71.15,62.525,85
"73","SEN","Senegal","Sub-Saharan Africa","Lower middle income",2023,17763163,77.20875,100,82.1,78.36875,50.575,75
"74","KGZ","Kyrgyz Republic","Europe & Central Asia","Lower middle income",2023,7100800,76.7808333333333,100,47.7,84.5875,66.6166666666667,85
"75","PER","Peru","Latin America & Caribbean","Upper middle income",2023,34352719,76.5458333333333,100,87.3333333333333,89.8125,50.5833333333333,55
"76","TUN","Tunisia","Middle East & North Africa","Lower middle income",2023,12458223,75.7945833333333,90,89.7333333333333,76.13125,63.1083333333333,60
"77","PRY","Paraguay","Latin America & Caribbean","Upper middle income",2023,6861524,75.6183333333333,90,68.1666666666667,83.7,61.225,75
"78","MAR","Morocco","Middle East & North Africa","Lower middle income",2023,37840044,75.3508333333333,80,90.4,81.6875,69.6666666666667,55
"79","MNE","Montenegro","Europe & Central Asia","Upper middle income",2023,616177,74.9441666666667,90,70,73.3625,61.3583333333333,80
"80","SLV","El Salvador","Latin America & Caribbean","Upper middle income",2023,6364943,74.8908333333333,90,79.9,81.1875,53.3666666666667,70
"81","BFA","Burkina Faso","Sub-Saharan Africa","Low income",2023,23251485,74.3091666666667,100,69,80.3875,42.1583333333333,80
"82","GTM","Guatemala","Latin America & Caribbean","Upper middle income",2023,17602431,74.2679166666667,80,62.1,79.23125,70.0083333333333,80
"83","DOM","Dominican Republic","Latin America & Caribbean","Upper middle income",2023,11332972,74.1233333333333,100,67.9666666666667,79.825,47.825,75
"84","IND","India","South Asia","Lower middle income",2023,1428627663,73.6283333333333,80,87.7333333333333,84.275,71.1333333333333,45
"85","RWA","Rwanda","Sub-Saharan Africa","Low income",2023,14094683,73.1391666666667,90,71.1333333333333,77.6375,56.925,70
