Image ID,Image name,Annotation status,Points,Coral,Other invertebrate,Sand,All other,Other,CCA (crustose coralline algae),Macroalgae,Turf algae
5235635,DHFM_02102025_0001_ (10).JPG,Confirmed,10,20.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000
5235638,DHFM_02102025_0001_ (11).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,10.000,90.000
5235641,DHFM_02102025_0001_ (12).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,30.000,70.000
5235644,DHFM_02102025_0001_ (13).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,10.000,90.000
5235646,DHFM_02102025_0001_ (14).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,20.000,80.000
5235648,DHFM_02102025_0001_ (15).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,10.000,90.000
5235650,DHFM_02102025_0001_ (16).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,20.000,80.000
5235653,DHFM_02102025_0001_ (17).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,10.000,90.000
5235655,DHFM_02102025_0001_ (18).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,30.000,70.000
5235658,DHFM_02102025_0001_ (19).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,20.000,80.000
5235611,DHFM_02102025_0001_ (1).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,30.000,70.000
5235660,DHFM_02102025_0001_ (20).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,30.000,70.000
5235663,DHFM_02102025_0001_ (21).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,90.000,10.000
5235665,DHFM_02102025_0001_ (22).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,50.000,50.000
5235667,DHFM_02102025_0001_ (23).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,30.000,70.000
5235670,DHFM_02102025_0001_ (24).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5235671,DHFM_02102025_0001_ (25).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,60.000,40.000
5235674,DHFM_02102025_0001_ (26).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,30.000,70.000
5235613,DHFM_02102025_0001_ (2).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5235615,DHFM_02102025_0001_ (3).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,30.000,70.000
5235618,DHFM_02102025_0001_ (4).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,40.000,60.000
5235620,DHFM_02102025_0001_ (5).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,30.000,70.000
5235622,DHFM_02102025_0001_ (6).JPG,Confirmed,10,20.000,0.000,0.000,0.000,0.000,0.000,30.000,50.000
5235625,DHFM_02102025_0001_ (7).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5235628,DHFM_02102025_0001_ (8).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000
5235632,DHFM_02102025_0001_ (9).JPG,Confirmed,10,20.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000
5235357,DHFM_02102025_0004_ (10).JPG,Confirmed,10,0.000,0.000,80.000,0.000,0.000,0.000,10.000,10.000
5235360,DHFM_02102025_0004_ (11).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,20.000,80.000
5235363,DHFM_02102025_0004_ (12).JPG,Confirmed,10,0.000,0.000,50.000,0.000,0.000,0.000,40.000,10.000
5235365,DHFM_02102025_0004_ (13).JPG,Confirmed,10,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000
5235368,DHFM_02102025_0004_ (14).JPG,Confirmed,10,0.000,0.000,90.000,0.000,10.000,0.000,0.000,0.000
5235371,DHFM_02102025_0004_ (15).JPG,Confirmed,10,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000
5235373,DHFM_02102025_0004_ (16).JPG,Confirmed,10,0.000,0.000,90.000,0.000,0.000,0.000,0.000,10.000
5235375,DHFM_02102025_0004_ (17).JPG,Confirmed,10,0.000,0.000,70.000,0.000,0.000,0.000,20.000,10.000
5235377,DHFM_02102025_0004_ (18).JPG,Confirmed,10,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000
5235379,DHFM_02102025_0004_ (19).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
