Image ID,Image name,Annotation status,Points,Coral,Other invertebrate,Sand,All other,Other,CCA (crustose coralline algae),Macroalgae,Turf algae
5237061,HBAY_03312025_0001_ (10).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5237062,HBAY_03312025_0001_ (11).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000
5237063,HBAY_03312025_0001_ (12).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,30.000,0.000,60.000
5237064,HBAY_03312025_0001_ (13).JPG,Confirmed,10,10.000,0.000,0.000,0.000,10.000,10.000,0.000,70.000
5237065,HBAY_03312025_0001_ (14).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5237066,HBAY_03312025_0001_ (15).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5237067,HBAY_03312025_0001_ (16).JPG,Confirmed,10,30.000,0.000,0.000,0.000,0.000,0.000,0.000,70.000
5237068,HBAY_03312025_0001_ (17).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,40.000,0.000,60.000
5237069,HBAY_03312025_0001_ (18).JPG,Confirmed,10,20.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000
5237070,HBAY_03312025_0001_ (19).JPG,Confirmed,10,50.000,0.000,0.000,0.000,0.000,10.000,0.000,40.000
5237052,HBAY_03312025_0001_ (1).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000
5237071,HBAY_03312025_0001_ (20).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000
5237072,HBAY_03312025_0001_ (21).JPG,Confirmed,10,30.000,0.000,0.000,0.000,0.000,0.000,0.000,70.000
5237073,HBAY_03312025_0001_ (22).JPG,Confirmed,10,30.000,0.000,10.000,0.000,10.000,0.000,0.000,50.000
5237074,HBAY_03312025_0001_ (23).JPG,Confirmed,10,0.000,10.000,30.000,0.000,0.000,0.000,0.000,60.000
5237075,HBAY_03312025_0001_ (24).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,20.000,0.000,70.000
5237076,HBAY_03312025_0001_ (25).JPG,Confirmed,10,30.000,0.000,10.000,0.000,0.000,10.000,0.000,50.000
5237077,HBAY_03312025_0001_ (26).JPG,Confirmed,10,20.000,10.000,0.000,0.000,0.000,30.000,0.000,40.000
5237053,HBAY_03312025_0001_ (2).JPG,Confirmed,10,10.000,10.000,20.000,0.000,0.000,0.000,0.000,60.000
5237054,HBAY_03312025_0001_ (3).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000
5237055,HBAY_03312025_0001_ (4).JPG,Confirmed,10,10.000,0.000,20.000,0.000,0.000,0.000,0.000,70.000
5237056,HBAY_03312025_0001_ (5).JPG,Confirmed,10,20.000,0.000,0.000,0.000,0.000,10.000,0.000,70.000
5237057,HBAY_03312025_0001_ (6).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000
5237058,HBAY_03312025_0001_ (7).JPG,Confirmed,10,30.000,0.000,0.000,0.000,0.000,0.000,0.000,70.000
5237059,HBAY_03312025_0001_ (8).JPG,Confirmed,10,20.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000
5237060,HBAY_03312025_0001_ (9).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000
5236827,HBAY_03312025_0008_ (10).JPG,Confirmed,10,0.000,0.000,70.000,0.000,0.000,0.000,0.000,30.000
5236828,HBAY_03312025_0008_ (11).JPG,Confirmed,10,0.000,0.000,70.000,0.000,0.000,0.000,0.000,30.000
5236829,HBAY_03312025_0008_ (12).JPG,Confirmed,10,10.000,0.000,60.000,0.000,0.000,0.000,0.000,30.000
5236830,HBAY_03312025_0008_ (13).JPG,Confirmed,10,0.000,0.000,20.000,0.000,0.000,0.000,0.000,80.000
5236831,HBAY_03312025_0008_ (14).JPG,Confirmed,10,0.000,0.000,90.000,0.000,0.000,0.000,0.000,10.000
5236832,HBAY_03312025_0008_ (15).JPG,Confirmed,10,40.000,0.000,30.000,0.000,0.000,0.000,0.000,30.000
5236833,HBAY_03312025_0008_ (16).JPG,Confirmed,10,10.000,0.000,60.000,0.000,0.000,0.000,0.000,30.000
5236834,HBAY_03312025_0008_ (17).JPG,Confirmed,10,0.000,0.000,60.000,0.000,0.000,0.000,0.000,40.000
5236835,HBAY_03312025_0008_ (18).JPG,Confirmed,10,0.000,0.000,70.000,0.000,0.000,0.000,0.000,30.000
5236836,HBAY_03312025_0008_ (19).JPG,Confirmed,10,0.000,0.000,50.000,0.000,0.000,0.000,0.000,50.000
5236818,HBAY_03312025_0008_ (1).JPG,Confirmed,10,70.000,0.000,10.000,0.000,0.000,0.000,0.000,20.000
5236837,HBAY_03312025_0008_ (20).JPG,Confirmed,10,10.000,0.000,70.000,0.000,0.000,0.000,0.000,20.000
5236838,HBAY_03312025_0008_ (21).JPG,Confirmed,10,0.000,0.000,70.000,0.000,0.000,0.000,0.000,30.000
5236839,HBAY_03312025_0008_ (22).JPG,Confirmed,10,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000
5236840,HBAY_03312025_0008_ (23).JPG,Confirmed,10,30.000,0.000,50.000,0.000,0.000,0.000,0.000,20.000
5236841,HBAY_03312025_0008_ (24).JPG,Confirmed,10,80.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000
5236842,HBAY_03312025_0008_ (25).JPG,Confirmed,10,0.000,0.000,90.000,0.000,0.000,0.000,0.000,10.000
5236843,HBAY_03312025_0008_ (26).JPG,Confirmed,10,20.000,0.000,70.000,0.000,0.000,0.000,0.000,10.000
5236819,HBAY_03312025_0008_ (2).JPG,Confirmed,10,90.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000
5236820,HBAY_03312025_0008_ (3).JPG,Confirmed,10,50.000,0.000,30.000,0.000,0.000,0.000,0.000,20.000
5236821,HBAY_03312025_0008_ (4).JPG,Confirmed,10,20.000,0.000,60.000,0.000,0.000,0.000,0.000,20.000
5236822,HBAY_03312025_0008_ (5).JPG,Confirmed,10,0.000,0.000,40.000,0.000,0.000,0.000,0.000,60.000
5236823,HBAY_03312025_0008_ (6).JPG,Confirmed,10,0.000,0.000,90.000,0.000,0.000,0.000,0.000,10.000
5236824,HBAY_03312025_0008_ (7).JPG,Confirmed,10,10.000,0.000,50.000,0.000,0.000,0.000,0.000,40.000
5236825,HBAY_03312025_0008_ (8).JPG,Confirmed,10,70.000,0.000,0.000,0.000,0.000,0.000,0.000,30.000
5236826,HBAY_03312025_0008_ (9).JPG,Confirmed,10,30.000,0.000,30.000,0.000,0.000,0.000,0.000,40.000
5236853,HBAY_03312025_0009_ (10).JPG,Confirmed,10,20.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000
5236854,HBAY_03312025_0009_ (11).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5236855,HBAY_03312025_0009_ (12).JPG,Confirmed,10,40.000,0.000,0.000,0.000,0.000,0.000,0.000,60.000
5236856,HBAY_03312025_0009_ (13).JPG,Confirmed,10,0.000,0.000,20.000,0.000,0.000,0.000,0.000,80.000
5236857,HBAY_03312025_0009_ (14).JPG,Confirmed,10,40.000,0.000,0.000,0.000,0.000,40.000,0.000,20.000
5236858,HBAY_03312025_0009_ (15).JPG,Confirmed,10,60.000,0.000,0.000,0.000,0.000,10.000,0.000,30.000
5236859,HBAY_03312025_0009_ (16).JPG,Confirmed,10,60.000,0.000,0.000,0.000,0.000,10.000,0.000,30.000
5236860,HBAY_03312025_0009_ (17).JPG,Confirmed,10,50.000,0.000,0.000,0.000,0.000,10.000,0.000,40.000
5236861,HBAY_03312025_0009_ (18).JPG,Confirmed,10,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5236862,HBAY_03312025_0009_ (19).JPG,Confirmed,10,80.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000
5236844,HBAY_03312025_0009_ (1).JPG,Confirmed,10,30.000,0.000,0.000,0.000,0.000,40.000,0.000,30.000
5236863,HBAY_03312025_0009_ (20).JPG,Confirmed,10,60.000,10.000,0.000,0.000,0.000,10.000,0.000,20.000
5236864,HBAY_03312025_0009_ (21).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,30.000,0.000,60.000
5236865,HBAY_03312025_0009_ (22).JPG,Confirmed,10,40.000,0.000,0.000,0.000,0.000,20.000,0.000,40.000
5236866,HBAY_03312025_0009_ (23).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,30.000,0.000,60.000
5236867,HBAY_03312025_0009_ (24).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,30.000,0.000,60.000
5236868,HBAY_03312025_0009_ (25).JPG,Confirmed,10,80.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000
5236869,HBAY_03312025_0009_ (26).JPG,Confirmed,10,40.000,0.000,0.000,0.000,0.000,30.000,0.000,30.000
5236845,HBAY_03312025_0009_ (2).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,30.000,0.000,70.000
5236846,HBAY_03312025_0009_ (3).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,20.000,0.000,70.000
5236847,HBAY_03312025_0009_ (4).JPG,Confirmed,10,70.000,0.000,0.000,0.000,0.000,0.000,0.000,30.000
5236848,HBAY_03312025_0009_ (5).JPG,Confirmed,10,70.000,10.000,0.000,0.000,0.000,0.000,0.000,20.000
5236849,HBAY_03312025_0009_ (6).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,20.000,0.000,70.000
5236850,HBAY_03312025_0009_ (7).JPG,Confirmed,10,30.000,0.000,0.000,0.000,0.000,10.000,0.000,60.000
5236851,HBAY_03312025_0009_ (8).JPG,Confirmed,10,30.000,0.000,0.000,0.000,0.000,0.000,0.000,70.000
5236852,HBAY_03312025_0009_ (9).JPG,Confirmed,10,20.000,0.000,0.000,0.000,0.000,0.000,0.000,80.000
5237155,HBAY_03312025_0010_ (10).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5237161,HBAY_03312025_0010_ (11).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5237165,HBAY_03312025_0010_ (12).JPG,Confirmed,10,0.000,0.000,10.000,0.000,0.000,0.000,0.000,90.000
5237168,HBAY_03312025_0010_ (13).JPG,Confirmed,10,0.000,0.000,10.000,0.000,0.000,0.000,0.000,90.000
5237171,HBAY_03312025_0010_ (14).JPG,Confirmed,10,0.000,0.000,20.000,0.000,0.000,0.000,0.000,80.000
5237174,HBAY_03312025_0010_ (15).JPG,Confirmed,10,0.000,0.000,30.000,0.000,0.000,0.000,0.000,70.000
5237176,HBAY_03312025_0010_ (16).JPG,Confirmed,10,20.000,20.000,0.000,0.000,0.000,10.000,0.000,50.000
5237180,HBAY_03312025_0010_ (17).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,20.000,0.000,70.000
5237184,HBAY_03312025_0010_ (18).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,10.000,0.000,90.000
5237188,HBAY_03312025_0010_ (19).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,30.000,0.000,60.000
5237130,HBAY_03312025_0010_ (1).JPG,Confirmed,10,0.000,0.000,10.000,0.000,0.000,0.000,0.000,90.000
5237189,HBAY_03312025_0010_ (20).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,30.000,0.000,70.000
5237190,HBAY_03312025_0010_ (21).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,10.000,0.000,90.000
5237191,HBAY_03312025_0010_ (22).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5237192,HBAY_03312025_0010_ (23).JPG,Confirmed,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,90.000
5237193,HBAY_03312025_0010_ (24).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5237194,HBAY_03312025_0010_ (25).JPG,Confirmed,10,0.000,10.000,0.000,0.000,0.000,10.000,0.000,80.000
5237195,HBAY_03312025_0010_ (26).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5237131,HBAY_03312025_0010_ (2).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,20.000,0.000,80.000
5237132,HBAY_03312025_0010_ (3).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000
5237133,HBAY_03312025_0010_ (4).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,0.000,0.000,90.000
5237134,HBAY_03312025_0010_ (5).JPG,Confirmed,10,10.000,0.000,0.000,0.000,0.000,10.000,0.000,80.000
5237135,HBAY_03312025_0010_ (6).JPG,Confirmed,10,0.000,10.000,0.000,0.000,0.000,20.000,0.000,70.000
5237137,HBAY_03312025_0010_ (7).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,60.000,0.000,40.000
