Image ID,Image name,Annotation status,Points,Coral,Other invertebrate,Sand,All other,Other,CCA (crustose coralline algae),Macroalgae,Turf algae
4978800,MBAY_01022025_0069_ (10).JPG,Confirmed,10,0,0,10,0,0,0,70,20
4978801,MBAY_01022025_0069_ (11).JPG,Confirmed,10,0,0,0,0,0,0,50,50
4978802,MBAY_01022025_0069_ (12).JPG,Confirmed,10,0,0,0,0,0,0,40,60
4978803,MBAY_01022025_0069_ (13).JPG,Confirmed,10,0,0,0,0,0,0,0,100
4978804,MBAY_01022025_0069_ (14).JPG,Confirmed,10,10,0,0,0,0,0,10,80
4978805,MBAY_01022025_0069_ (15).JPG,Confirmed,10,0,0,0,0,0,0,20,80
4978806,MBAY_01022025_0069_ (16).JPG,Confirmed,10,10,0,0,0,0,0,10,80
4978807,MBAY_01022025_0069_ (17).JPG,Confirmed,10,0,0,20,0,0,0,0,80
4978808,MBAY_01022025_0069_ (18).JPG,Confirmed,10,0,0,0,0,0,0,0,100
4978809,MBAY_01022025_0069_ (19).JPG,Confirmed,10,0,0,0,0,0,0,10,90
4978791,MBAY_01022025_0069_ (1).JPG,Confirmed,10,0,0,20,0,0,0,10,70
4978810,MBAY_01022025_0069_ (20).JPG,Confirmed,10,0,0,10,0,0,10,0,80
4978811,MBAY_01022025_0069_ (21).JPG,Confirmed,10,0,0,20,0,0,0,20,60
4978812,MBAY_01022025_0069_ (22).JPG,Confirmed,10,0,0,10,0,0,0,10,80
4978813,MBAY_01022025_0069_ (23).JPG,Confirmed,10,0,0,0,0,0,0,0,100
4978814,MBAY_01022025_0069_ (24).JPG,Confirmed,10,0,0,0,0,0,0,0,100
4978815,MBAY_01022025_0069_ (25).JPG,Confirmed,10,0,0,20,0,0,0,10,70
4978816,MBAY_01022025_0069_ (26).JPG,Confirmed,10,0,0,10,0,0,0,20,70
4978792,MBAY_01022025_0069_ (2).JPG,Confirmed,10,0,0,10,0,0,0,30,60
4978793,MBAY_01022025_0069_ (3).JPG,Confirmed,10,0,0,10,0,0,0,0,90
4978794,MBAY_01022025_0069_ (4).JPG,Confirmed,10,0,0,10,0,10,0,20,60
4978795,MBAY_01022025_0069_ (5).JPG,Confirmed,10,0,0,0,0,0,10,0,90
4978796,MBAY_01022025_0069_ (6).JPG,Confirmed,10,0,0,0,0,0,0,0,100
4978797,MBAY_01022025_0069_ (7).JPG,Confirmed,10,0,0,0,0,0,10,0,90
4978798,MBAY_01022025_0069_ (8).JPG,Confirmed,10,0,10,0,0,0,0,0,90
4978799,MBAY_01022025_0069_ (9).JPG,Confirmed,10,0,0,0,0,0,0,20,80
4978826,MBAY_01022025_0199_ (10).JPG,Confirmed,10,0,0,0,0,0,10,20,70
4978827,MBAY_01022025_0199_ (11).JPG,Confirmed,10,10,0,0,0,0,50,0,40
4978828,MBAY_01022025_0199_ (12).JPG,Confirmed,10,0,0,0,0,0,50,10,40
4978829,MBAY_01022025_0199_ (13).JPG,Confirmed,10,0,0,0,0,0,50,0,50
4978830,MBAY_01022025_0199_ (14).JPG,Confirmed,10,10,0,0,0,0,40,10,40
4978831,MBAY_01022025_0199_ (15).JPG,Confirmed,10,0,0,0,0,0,40,30,30
4978832,MBAY_01022025_0199_ (16).JPG,Confirmed,10,0,0,0,0,10,20,10,60
4978833,MBAY_01022025_0199_ (17).JPG,Confirmed,10,0,0,0,0,0,60,0,40
4978834,MBAY_01022025_0199_ (18).JPG,Confirmed,10,0,0,0,0,0,20,20,60
4978835,MBAY_01022025_0199_ (19).JPG,Confirmed,10,0,0,0,0,0,0,40,60
4978817,MBAY_01022025_0199_ (1).JPG,Confirmed,10,0,0,0,0,0,10,20,70
