Image ID,Image name,Annotation status,Points,Coral,Other invertebrate,Sand,All other,Other,CCA (crustose coralline algae),Macroalgae,Turf algae
5233487,WIKI_01162025_0001_ (10).JPG,Confirmed,10,0.000,0.000,30.000,0.000,0.000,0.000,0.000,70.000
5233488,WIKI_01162025_0001_ (11).JPG,Confirmed,10,0.000,0.000,10.000,0.000,0.000,0.000,0.000,90.000
5233489,WIKI_01162025_0001_ (12).JPG,Confirmed,10,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000
5233490,WIKI_01162025_0001_ (13).JPG,Confirmed,10,20.000,0.000,40.000,0.000,0.000,0.000,0.000,40.000
5233491,WIKI_01162025_0001_ (14).JPG,Confirmed,10,0.000,0.000,50.000,0.000,0.000,0.000,0.000,50.000
5233492,WIKI_01162025_0001_ (15).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5233493,WIKI_01162025_0001_ (16).JPG,Confirmed,10,0.000,0.000,0.000,0.000,10.000,0.000,0.000,90.000
5233494,WIKI_01162025_0001_ (17).JPG,Confirmed,10,0.000,0.000,10.000,0.000,0.000,0.000,0.000,90.000
5233495,WIKI_01162025_0001_ (18).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5233496,WIKI_01162025_0001_ (19).JPG,Confirmed,10,0.000,0.000,20.000,0.000,0.000,0.000,0.000,80.000
5233478,WIKI_01162025_0001_ (1).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5233497,WIKI_01162025_0001_ (20).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,10.000,0.000,90.000
5233498,WIKI_01162025_0001_ (21).JPG,Confirmed,10,0.000,0.000,50.000,0.000,0.000,0.000,0.000,50.000
5233499,WIKI_01162025_0001_ (22).JPG,Confirmed,10,0.000,0.000,30.000,0.000,0.000,0.000,0.000,70.000
5233500,WIKI_01162025_0001_ (23).JPG,Confirmed,10,0.000,0.000,70.000,0.000,0.000,0.000,0.000,30.000
5233503,WIKI_01162025_0001_ (24).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5233507,WIKI_01162025_0001_ (25).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5233510,WIKI_01162025_0001_ (26).JPG,Confirmed,10,0.000,0.000,40.000,0.000,0.000,0.000,0.000,60.000
5233479,WIKI_01162025_0001_ (2).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,10.000,0.000,90.000
5233480,WIKI_01162025_0001_ (3).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,10.000,0.000,90.000
5233481,WIKI_01162025_0001_ (4).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,10.000,0.000,90.000
5233482,WIKI_01162025_0001_ (5).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,10.000,0.000,90.000
5233483,WIKI_01162025_0001_ (6).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5233484,WIKI_01162025_0001_ (7).JPG,Confirmed,10,0.000,0.000,80.000,0.000,0.000,0.000,0.000,20.000
5233485,WIKI_01162025_0001_ (8).JPG,Confirmed,10,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000
5233486,WIKI_01162025_0001_ (9).JPG,Confirmed,10,0.000,0.000,100.000,0.000,0.000,0.000,0.000,0.000
5234356,WIKI_01162025_0002_ (10).JPG,Confirmed,10,0.000,0.000,30.000,0.000,0.000,20.000,0.000,50.000
5234357,WIKI_01162025_0002_ (11).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,40.000,0.000,60.000
5234358,WIKI_01162025_0002_ (12).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,20.000,0.000,80.000
5234360,WIKI_01162025_0002_ (13).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234362,WIKI_01162025_0002_ (14).JPG,Confirmed,10,0.000,0.000,30.000,0.000,0.000,0.000,0.000,70.000
5234364,WIKI_01162025_0002_ (15).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234366,WIKI_01162025_0002_ (16).JPG,Confirmed,10,0.000,0.000,10.000,0.000,0.000,20.000,0.000,70.000
5234368,WIKI_01162025_0002_ (17).JPG,Confirmed,10,0.000,0.000,10.000,0.000,0.000,20.000,0.000,70.000
5234369,WIKI_01162025_0002_ (18).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,60.000,0.000,40.000
5234370,WIKI_01162025_0002_ (19).JPG,Confirmed,10,10.000,0.000,10.000,0.000,0.000,30.000,0.000,50.000
5234330,WIKI_01162025_0002_ (1).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234372,WIKI_01162025_0002_ (20).JPG,Confirmed,10,0.000,0.000,10.000,0.000,0.000,50.000,0.000,40.000
5234373,WIKI_01162025_0002_ (21).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234374,WIKI_01162025_0002_ (22).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,10.000,0.000,90.000
5234376,WIKI_01162025_0002_ (23).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234378,WIKI_01162025_0002_ (24).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234380,WIKI_01162025_0002_ (25).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,30.000,0.000,70.000
5234381,WIKI_01162025_0002_ (26).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234334,WIKI_01162025_0002_ (2).JPG,Confirmed,10,10.000,0.000,0.000,0.000,10.000,0.000,0.000,80.000
5234337,WIKI_01162025_0002_ (3).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,10.000,0.000,90.000
5234340,WIKI_01162025_0002_ (4).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,30.000,0.000,70.000
5234343,WIKI_01162025_0002_ (5).JPG,Confirmed,10,0.000,0.000,20.000,0.000,0.000,0.000,0.000,80.000
5234345,WIKI_01162025_0002_ (6).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234348,WIKI_01162025_0002_ (7).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234351,WIKI_01162025_0002_ (8).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234354,WIKI_01162025_0002_ (9).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234180,WIKI_01162025_0003_ (10).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234181,WIKI_01162025_0003_ (11).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,20.000,0.000,80.000
5234182,WIKI_01162025_0003_ (12).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
5234183,WIKI_01162025_0003_ (13).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,20.000,0.000,80.000
5234184,WIKI_01162025_0003_ (14).JPG,Confirmed,10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000
