"","sample","lead"
"1",1,0.344
"2",2,0.349
"3",3,0.4
"4",4,0.41
"5",5,0.438
"6",6,0.475
"7",7,0.5
"8",8,0.5
"9",9,0.501
"10",10,0.507
"11",11,0.543
"12",12,0.548
"13",13,0.552
"14",14,0.639
"15",15,0.64
"16",16,0.684
"17",17,0.7
"18",18,0.708
"19",19,0.719
"20",20,0.739
"21",21,0.753
"22",22,0.793
"23",23,0.8
"24",24,0.8
"25",25,0.8
"26",26,0.823
"27",27,0.828
"28",28,0.832
"29",29,0.846
"30",30,0.866
"31",31,0.9
"32",32,0.906
"33",33,0.915
"34",34,0.922
"35",35,0.948
"36",36,0.956
"37",37,0.965
"38",38,0.974
"39",39,0.977
"40",40,0.99
"41",41,1.032
"42",42,1.083
"43",43,1.1
"44",44,1.1
"45",45,1.1
"46",46,1.111
"47",47,1.114
"48",48,1.132
"49",49,1.152
"50",50,1.154
"51",51,1.166
"52",52,1.174
"53",53,1.183
"54",54,1.2
"55",55,1.203
"56",56,1.224
"57",57,1.229
"58",58,1.29
"59",59,1.293
"60",60,1.329
"61",61,1.344
"62",62,1.38
"63",63,1.386
"64",64,1.403
"65",65,1.467
"66",66,1.469
"67",67,1.492
"68",68,1.571
"69",69,1.585
"70",70,1.621
"71",71,1.626
"72",72,1.633
"73",73,1.668
"74",74,1.671
"75",75,1.701
"76",76,1.799
"77",77,1.8
"78",78,1.852
"79",79,1.861
"80",80,1.862
"81",81,1.867
"82",82,1.888
"83",83,1.934
"84",84,1.951
"85",85,1.959
"86",86,1.966
"87",87,1.984
"88",88,2.054
"89",89,2.1
"90",90,2.145
"91",91,2.149
"92",92,2.172
"93",93,2.229
"94",94,2.261
"95",95,2.267
"96",96,2.273
"97",97,2.325
"98",98,2.332
"99",99,2.362
"100",100,2.37
"101",101,2.423
"102",102,2.433
"103",103,2.435
"104",104,2.448
"105",105,2.481
"106",106,2.484
"107",107,2.525
"108",108,2.544
"109",109,2.576
"110",110,2.582
"111",111,2.672
"112",112,2.708
"113",113,2.774
"114",114,2.816
"115",115,2.822
"116",116,2.828
"117",117,2.85
"118",118,2.867
"119",119,2.9
"120",120,2.911
"121",121,2.997
"122",122,3.045
"123",123,3.058
"124",124,3.131
"125",125,3.158
"126",126,3.228
"127",127,3.232
"128",128,3.243
"129",129,3.262
"130",130,3.322
"131",131,3.341
"132",132,3.365
"133",133,3.4
"134",134,3.445
"135",135,3.484
"136",136,3.521
"137",137,3.564
"138",138,3.679
"139",139,3.741
"140",140,3.744
"141",141,3.784
"142",142,3.832
"143",143,3.9
"144",144,3.9
"145",145,4.056
"146",146,4.062
"147",147,4.066
"148",148,4.152
"149",149,4.287
"150",150,4.358
"151",151,4.401
"152",152,4.453
"153",153,4.47
"154",154,4.476
"155",155,4.563
"156",156,4.681
"157",157,4.69
"158",158,4.699
"159",159,4.764
"160",160,4.797
"161",161,4.808
"162",162,5.06
"163",163,5.068
"164",164,5.153
"165",165,5.218
"166",166,5.228
"167",167,5.3
"168",168,5.35
"169",169,5.367
"170",170,5.402
"171",171,5.5
"172",172,5.508
"173",173,5.59
"174",174,5.655
"175",175,5.667
"176",176,5.668
"177",177,6.054
"178",178,6.087
"179",179,6.093
"180",180,6.2
"181",181,6.2
"182",182,6.219
"183",183,6.261
"184",184,6.27
"185",185,6.3
"186",186,6.347
"187",187,6.557
"188",188,6.601
"189",189,6.609
"190",190,6.877
"191",191,7.087
"192",192,7.2
"193",193,7.244
"194",194,7.575
"195",195,7.636
"196",196,8.007
"197",197,8.071
"198",198,8.133
"199",199,8.2
"200",200,8.471
"201",201,8.561
"202",202,8.713
"203",203,8.8
"204",204,9.3
"205",205,9.408
"206",206,9.766
"207",207,9.997
"208",208,10.32
"209",209,10.56
"210",210,10.6
"211",211,10.74
"212",212,10.96
"213",213,11
"214",214,11.2
"215",215,11.47
"216",216,11.52
"217",217,11.57
"218",218,11.93
"219",219,12.3
"220",220,12.55
"221",221,12.81
"222",222,12.87
"223",223,12.9
"224",224,13.53
"225",225,13.95
"226",226,14.33
"227",227,15.55
"228",228,15.73
"229",229,15.9
"230",230,16.49
"231",231,16.51
"232",232,16.52
"233",233,16.99
"234",234,18.11
"235",235,18.86
"236",236,19.12
"237",237,19.16
"238",238,20.22
"239",239,20.41
"240",240,22.08
"241",241,23.85
"242",242,24.37
"243",243,25.21
"244",244,26.64
"245",245,27.02
"246",246,27.05
"247",247,27.45
"248",248,28.7
"249",249,28.91
"250",250,29.13
"251",251,29.59
"252",252,30.91
"253",253,31.06
"254",254,31.14
"255",255,32.85
"256",256,34.13
"257",257,38.02
"258",258,40.63
"259",259,43.19
"260",260,56.26
"261",261,59
"262",262,66.24
"263",263,66.88
"264",264,75.82
"265",265,102.7
"266",266,105.3
"267",267,109.6
"268",268,118.4
"269",269,120
"270",270,138.8
"271",271,158
